视频 output1.avi 检测结果统计:
帧 885: 无球
帧 886: 无球
帧 887: 无球
帧 888: 无球
帧 889: 无球
帧 890: 无球
帧 891: 无球
帧 892: 无球
帧 893: 无球
帧 894: 无球
帧 895: 无球
帧 896: 无球
帧 897: 无球
帧 898: 无球
帧 899: 无球
帧 900: 无球
帧 901: 无球
帧 902: 无球
帧 903: 无球
帧 904: 无球
帧 905: 无球
帧 906: 无球
帧 907: 无球
帧 908: 无球
帧 909: 无球
帧 910: 无球
帧 911: 无球
帧 912: 无球
帧 913: 无球
帧 914: 无球
帧 915: 无球
帧 916: 无球
帧 917: 无球
帧 918: 无球
帧 919: 无球
帧 920: 无球
帧 921: 无球
帧 922: 无球
帧 923: 无球
帧 924: 无球
帧 925: 无球
帧 926: 无球
帧 927: 无球
帧 928: 无球
帧 929: 无球
帧 930: 无球
帧 931: 无球
帧 932: 无球
帧 933: 无球
帧 934: 无球
帧 935: 无球
帧 936: 无球
帧 937: 无球
帧 938: 无球
帧 939: 无球
帧 940: 无球
帧 941: 无球
帧 942: 无球
帧 943: 无球
帧 944: 无球
帧 945: 无球
帧 946: 无球
帧 947: 无球
帧 948: 无球
帧 949: 无球
帧 950: 无球
帧 951: 无球
帧 952: 无球
帧 953: 无球
帧 954: 无球
帧 955: 无球
帧 956: 无球
帧 957: 无球
帧 958: 无球
帧 959: 无球
帧 960: 无球
帧 961: 无球
帧 962: 无球
帧 963: 无球
帧 964: 无球
帧 965: 无球
帧 966: 无球
帧 967: 无球
帧 968: 无球
帧 969: 无球
帧 970: 无球
帧 971: 无球
帧 972: 无球
帧 973: 无球
帧 974: 无球
帧 975: 无球
帧 976: 无球
帧 977: 无球
帧 978: 无球
帧 979: 无球
帧 980: 无球
帧 981: 无球
帧 982: 无球
帧 983: 无球
帧 984: 无球
帧 985: 无球
帧 986: 无球
帧 987: 无球
帧 988: 无球
帧 989: 无球
帧 990: 无球
帧 991: 无球
帧 992: 无球
帧 993: purple球
帧 994: purple球
帧 995: purple球
帧 996: purple球
帧 997: purple球
帧 998: purple球
帧 999: purple球
帧 1000: purple球
帧 1001: purple球
帧 1002: purple球
帧 1003: purple球
帧 1004: purple球
帧 1005: purple球
帧 1006: purple球
帧 1007: purple球
帧 1008: 无球
帧 1009: 无球
帧 1010: 无球
帧 1011: 无球
帧 1012: purple球
帧 1013: purple球
帧 1014: purple球
帧 1015: purple球
帧 1016: purple球
帧 1017: purple球
帧 1018: purple球
帧 1019: purple球
帧 1020: purple球
帧 1021: purple球
帧 1022: 无球
帧 1023: 无球
帧 1024: 无球
帧 1025: 无球
帧 1026: purple球
帧 1027: purple球
帧 1028: purple球
帧 1029: purple球
帧 1030: 无球
帧 1031: 无球
帧 1032: 无球
帧 1033: purple球
帧 1034: purple球
帧 1035: purple球
帧 1036: purple球
帧 1037: purple球
帧 1038: purple球
帧 1039: purple球
帧 1040: purple球
